C.D.S.  -  SIMBAD4 rel 1.5  -  2016.05.31CEST18:39:28

 IdentList
----------

 # 	typed ident	       identifier        	typ	 coord1 (ICRS,J2000/2000)  	       pm       	  plx  	 radvel  	Mag U 	Mag B 	Mag V 	Mag R 	Mag I 	  spec. type   
---	-----------	-------------------------	---	---------------------------	----------------	-------	---------	------	------	------	------	------	---------------
151	HD163607   	HD 163607                	*  	268.41872830 +56.39195602  	  -75.74 120.05 	  14.53	-10.12   	     ~	 8.762	 7.979	 7.80 	     ~	G5IV           
152	HD4313     	HD 4313                  	*  	011.41815996 +07.84502103  	     -5.14 6.69 	   7.30	14.40    	     ~	 8.788	 7.82 	     ~	     ~	G5             
153	HD2638     	HD 2638                  	** 	007.49946974 -05.76400024  	-105.63 -223.46 	  20.03	9.62     	     ~	10.33 	 9.38 	 9.10 	 9.19 	K1V            
154	HD168443   	HD 168443                	PM*	275.01637711 -09.59571931  	 -93.84 -222.83 	  26.72	-48.69   	     ~	 7.62 	 6.92 	     ~	     ~	G6V            
155	HD10180    	HD 10180                 	*  	024.47323633 -60.51152649  	    -14.60 6.51 	  25.63	35.51    	     ~	 7.95 	 7.32 	     ~	     ~	G1V            
156	HD45350    	HD 45350                 	*  	097.19046477 +38.96296304  	  -42.16 -53.46 	  20.46	-20.65   	     ~	 8.62 	 7.88 	     ~	     ~	G5             
157	HD69830    	HD 69830                 	PM*	124.59977944 -12.63216989  	 278.99 -987.59 	  80.04	32.20    	     ~	 6.74 	 5.95 	     ~	     ~	G8+V           
158	HD47186    	HD 47186                 	PM*	099.03661528 -27.62229708  	  21.32 -263.01 	  25.26	4.30     	     ~	 8.36 	 7.63 	     ~	     ~	G6V            
159	HD148427   	HD 148427                	RG*	247.11729584 -13.39963690  	    -37.74 2.81 	  16.94	-35.05   	     ~	 7.85 	 6.89 	     ~	     ~	K0III/IV       
160	HD208487   	HD 208487                	PM*	329.33269628 -37.76362275  	 100.51 -118.53 	  21.81	6.80     	     ~	 8.02 	 7.47 	     ~	     ~	G1/3(V)        
161	HD20782    	HD 20782                 	PM*	050.01490794 -28.85407363  	  349.33 -65.92 	  28.15	40.70    	     ~	 8.03 	 7.38 	     ~	     ~	G1.5V          
162	HD190360   	HD 190360                	PM*	300.90585778 +29.89680400  	 683.94 -524.70 	  63.06	-45.26   	     ~	 6.44 	 5.71 	 5.2  	 4.9  	G7IV-V         
163	HD65216    	HD 65216                 	*  	118.42217167 -63.64732390  	 -122.93 145.51 	  28.11	42.50    	     ~	 8.65 	 7.96 	     ~	     ~	G5V+M7-8+L2-3  
164	HD130322   	HD 130322                	PM*	221.886350 -00.281478      	-129.67 -141.57 	  31.54	-12.47   	     ~	 8.82 	 8.04 	     ~	     ~	K0V            
165	HD16175    	HD 16175                 	PM*	039.25796235 +42.06263206  	  -38.90 -40.37 	  17.28	22.07    	     ~	 7.92 	 7.28 	     ~	     ~	G2             
166	HD46375    	HD 46375                 	PM*	098.30259303 +05.46292453  	  111.96 -97.17 	  28.72	-0.97    	     ~	 8.70 	 7.84 	     ~	     ~	K1IV           
167	HD98219    	HD 98219                 	PM*	169.44813718 -23.97541613  	 -131.02 -16.91 	   7.45	-10.21   	     ~	 8.992	 8.03 	     ~	     ~	K0III/IV       
168	HD11964    	HD 11964                 	PM*	029.29003181 -10.24242599  	-366.23 -242.39 	  30.44	-9.34    	     ~	 7.25 	 6.42 	     ~	     ~	G9VCN+1        
169	HD139357   	HR 5811                  	*  	233.81749527 +53.92214249  	    -18.32 1.64 	   8.47	-8.75    	     ~	 7.168	 5.977	     ~	     ~	K4III:         
170	HD1461     	HD 1461                  	PM*	004.67444682 -08.05300067  	 416.87 -143.83 	  43.02	-10.09   	     ~	 7.14 	 6.46 	     ~	     ~	G3V            
171	HD8535     	HD 8535                  	*  	020.90515014 -41.26980033  	   58.19 -70.10 	  19.03	2.46     	     ~	 8.25 	 7.69 	     ~	     ~	G0V            
172	HD4203     	HD 4203                  	PM*	011.17166928 +20.44892652  	 122.97 -124.29 	  12.95	-14.20   	     ~	 9.444	 8.687	 8.2  	 7.9  	G5             
173	HD102956   	HD 102956                	*  	177.84380061 +57.64073508  	  -10.82 -17.14 	   7.92	-25.83   	     ~	 8.825	 7.851	 8.21 	     ~	K0III          
174	HD23079    	HD 23079                 	PM*	054.92956767 -52.91584016  	 -192.57 -92.82 	  29.51	0.66     	     ~	 7.68 	 7.11 	     ~	     ~	F9.5V          
175	HD178911   	HD 178911                	SB*	287.26827933 +34.60045265  	   51.89 196.24 	  19.11	-41.01   	     ~	 7.37 	 6.74 	 6.3  	 6.0  	G1V+K1V        
176	HD162020   	HD 162020                	pr*	267.65981146 -40.31835290  	   17.27 -26.84 	  33.98	-26.00   	     ~	10.11 	 9.12 	     ~	     ~	K3V            
177	HD168746   	HD 168746                	*  	275.45742682 -11.92268252  	  -23.35 -68.93 	  23.40	-25.55   	     ~	 8.66 	 7.95 	     ~	     ~	G5V            
178	HD215497   	HD 215497                	*  	341.65314585 -56.59953301  	  -53.68 -60.49 	  22.94	49.31    	     ~	 9.92 	 8.95 	     ~	     ~	K3V            
179	HD154345   	HD 154345                	V* 	255.65168166 +47.08187893  	  123.27 853.63 	  53.80	-46.85   	     ~	 7.50 	 6.74 	 6.3  	 6.0  	G8V            
180	HD217107   	HD 217107                	** 	344.56475477 -02.39538443  	   -6.35 -15.80 	  50.36	-13.40   	     ~	 6.900	 6.180	     ~	     ~	G8IV/V         
181	HD7199     	HD 7199                  	*  	017.69675488 -66.18816700  	 110.78 -125.02 	  28.33	4.80     	     ~	 8.89 	 8.03 	     ~	     ~	K1IV           
182	HD159243   	HD 159243                	*  	263.33977418 +05.70073309  	   -54.41 22.43 	  14.45	~        	     ~	 9.19 	 8.65 	     ~	     ~	G0             
183	HD285507   	HD 285507                	PM*	061.75511053 +15.33502748  	  126.05 -20.70 	  24.19	38.00    	     ~	11.8  	10.5  	     ~	     ~	K4             
184	HD40307    	HD 40307                 	*  	088.51766631 -60.02347159  	  -52.65 -60.46 	  76.95	31.33    	 8.814	 8.097	 7.147	 6.597	 6.119	K2.5V          
185	HD290327   	HD 290327                	*  	080.83985376 -02.27761951  	   34.44 -96.93 	  17.65	29.54    	     ~	 9.73 	 8.94 	     ~	     ~	G0             
186	HD169830   	HR 6907                  	*  	276.95618136 -29.81686314  	    -1.39 16.11 	  27.32	-17.74   	     ~	 6.386	 5.911	 7.01 	     ~	F7V            
187	HD63765    	HD 63765                 	PM*	116.95716203 -54.26414611  	 147.67 -279.19 	  30.07	22.59    	     ~	 8.85 	 8.10 	     ~	     ~	G9V            
188	HD85390    	HD 85390                 	*  	147.51040262 -49.79026816  	   24.32 -60.59 	  30.89	33.09    	     ~	 9.40 	 8.55 	     ~	     ~	K1.5V          
189	HD221287   	HD 221287                	*  	352.83474132 -58.20973236  	   180.53 -5.39 	  18.09	-21.90   	     ~	 8.31 	 7.81 	     ~	     ~	F7V            
190	HD192699   	HD 192699                	PM*	304.02502117 +04.58079271  	  -39.24 -52.15 	  15.24	13.75    	     ~	 7.290	 6.449	     ~	     ~	G8IV           
191	HD181342   	HD 181342                	RG*	290.26762895 -23.61957022  	  -45.87 -30.58 	   9.04	-0.76    	     ~	 8.566	 7.55 	     ~	 8.62 	K0III          
192	HD131496   	HD 131496                	*  	223.34595295 +18.23540451  	   44.46 -35.08 	   9.09	1.00     	 9.713	 8.828	 7.80 	     ~	     ~	K0             
193	HD44219    	HD 44219                 	*  	095.05968223 -10.72501283  	   73.05 -17.95 	  19.83	-12.07   	     ~	 8.36 	 7.70 	     ~	     ~	G3V            
194	HD220074   	HR 8881                  	*iC	350.05991507 +61.97012716  	     7.68 -5.43 	   3.08	-36.89   	10.070	 8.070	 6.400	     ~	     ~	M2III          
195	HD38529    	HD 38529                 	PM*	086.64546906 +01.16819325  	 -79.12 -141.84 	  25.46	30.21    	     ~	 6.684	 5.938	 5.4  	 5.1  	G8III/IV       
196	HD22781    	HD 22781                 	*  	055.20635971 +31.82629489  	   41.46 -91.99 	  30.51	22.10    	     ~	 9.628	 8.766	 8.45 	     ~	K0             
197	HD120084   	HD 120084                	PM*	205.66334109 +78.06443766  	   -64.60 45.97 	   9.93	-8.84    	     ~	 6.901	 5.910	     ~	     ~	G7III          
198	HD20868    	HD 20868                 	PM*	050.17789184 -33.73010878  	   293.32 94.07 	  21.64	46.29    	     ~	11.07 	 9.93 	     ~	     ~	K3/4III/V      
199	HD107148   	HD 107148                	*  	184.80621518 -03.31978875  	  -53.46 -47.37 	  19.53	25.32    	     ~	 8.72 	 8.02 	     ~	     ~	G5V            
200	HD212301   	HD 212301                	*  	336.87882729 -77.71792329  	   75.74 -92.05 	  18.20	4.69     	     ~	 8.31 	 7.76 	     ~	     ~	F8V            
201	HD209458   	V* V376 Peg              	EP*	330.79488361 +18.88431749  	   28.55 -18.81 	  20.15	-14.72   	     ~	 8.21 	 7.63 	     ~	     ~	G0V            
202	HD102272   	HD 102272                	*  	176.59806595 +14.12398325  	     -6.54 6.21 	   4.10	-11.86   	     ~	 9.71 	 8.71 	     ~	     ~	K2             
203	HD181433   	HD 181433                	PM*	291.28986606 -66.46879899  	 -230.60 235.37 	  37.37	40.21    	     ~	 9.42 	 8.38 	     ~	     ~	K3III-IV       
204	HD187123   	HD 187123                	PM*	296.74213744 +34.41952249  	 143.18 -123.91 	  20.72	-16.97   	     ~	 8.488	 7.83 	 7.4  	 7.1  	G5             
205	HD108147   	HD 108147                	PM*	186.44278217 -64.02208904  	 -182.28 -61.27 	  26.26	-4.80    	     ~	 7.501	 7.003	     ~	     ~	F8/G0V         
206	HD215497   	HD 215497                	*  	341.65314585 -56.59953301  	  -53.68 -60.49 	  22.94	49.31    	     ~	 9.92 	 8.95 	     ~	     ~	K3V            
207	HD20794    	* e Eri                  	PM*	049.98187889 -43.06978264  	 3038.34 726.58 	 165.47	87.40    	 5.20 	 4.98 	 4.27 	 3.65 	 3.25 	G8III          
208	HD33564    	HD 33564                 	*  	080.63971846 +79.23115057  	  -78.48 161.95 	  47.88	-10.80   	     ~	 5.547	 5.095	 4.8  	 4.6  	F6V            
209	HD40979    	HD 40979                 	PM*	091.12475893 +44.26044278  	  93.85 -152.79 	  30.20	32.57    	     ~	 7.29 	 6.734	 6.4  	 6.1  	F8             
210	HD10180    	HD 10180                 	*  	024.47323633 -60.51152649  	    -14.60 6.51 	  25.63	35.51    	     ~	 7.95 	 7.32 	     ~	     ~	G1V            
211	HD134987   	* 23 Lib                 	PM*	228.36944608 -25.30934634  	 -399.92 -74.85 	  38.16	5.17     	     ~	 7.168	 6.46 	 6.43 	     ~	G6IV-V         
212	HD40307    	HD 40307                 	*  	088.51766631 -60.02347159  	  -52.65 -60.46 	  76.95	31.33    	 8.814	 8.097	 7.147	 6.597	 6.119	K2.5V          
213	HD108874   	HD 108874                	*iC	187.61200682 +22.87982833  	  127.11 -89.47 	  15.97	-30.00   	     ~	 9.49 	 8.76 	 8.3  	 7.9  	G9V            
214	HD4732     	HD 4732                  	PM*	012.30811925 -24.13667289  	   78.54 -60.14 	  17.27	26.18    	     ~	 6.84 	 5.90 	 7.09 	     ~	K0III          
215	HD23596    	HD 23596                 	PM*	057.00155963 +40.53063501  	    53.95 21.12 	  19.83	-10.60   	     ~	 7.85 	 7.24 	     ~	     ~	F8             
216	HD25171    	HD 25171                 	*  	058.95600133 -65.18667674  	   143.97 80.69 	  18.19	43.64    	     ~	 8.293	 7.78 	 7.77 	 7.74 	F8V            
217	HD83443    	HD 83443                 	*  	144.29928506 -43.27220429  	  23.00 -120.31 	  24.29	29.21    	     ~	 9.03 	 8.24 	     ~	     ~	K0/1V+G(III)   
218	HD43691    	HD 43691                 	*  	094.89448427 +41.09230871  	   23.12 -51.92 	  12.44	-28.97   	     ~	 8.59 	 8.02 	     ~	     ~	G0             
219	HD10697    	* 109 Psc                	PM*	026.23260349 +20.08314948  	 -44.75 -105.35 	  30.70	-45.53   	     ~	 6.957	 6.292	     ~	     ~	G3Va           
220	HD113337   	HD 113337                	PM*	195.44552787 +63.61022478  	  -171.70 25.36 	  27.11	-16.20   	     ~	 6.397	 6.025	 5.8  	 5.6  	F6V            
221	HD3651     	* 54 Psc                 	V* 	009.84085789 +21.25047446  	-461.32 -370.02 	  90.42	-33.28   	 7.29 	 6.71 	 5.88 	 5.21 	 4.82 	K0V            
222	HD99706    	HD 99706                 	*  	172.12589042 +43.96658060  	   45.57 -86.89 	   7.76	-30.36   	     ~	 8.646	 7.64 	11.7  	     ~	K0             
223	HD169830   	HR 6907                  	*  	276.95618136 -29.81686314  	    -1.39 16.11 	  27.32	-17.74   	     ~	 6.386	 5.911	 7.01 	     ~	F7V            
224	HD175541   	HD 175541                	PM*	283.92035082 +04.26532615  	   -6.82 -89.23 	   7.87	20.02    	     ~	 8.90 	 8.00 	     ~	     ~	G6/8IV         
225	HD202206   	HD 202206                	*  	318.74070492 -20.78920939  	 -38.40 -119.81 	  22.06	18.60    	     ~	 8.79 	 8.07 	     ~	     ~	G6V            
226	HD145457   	HD 145457                	*  	242.51630960 +26.74274796  	   -18.34 36.89 	   7.98	-3.56    	     ~	 7.61 	 6.565	 6.91 	     ~	K0III          
227	HD206610   	HD 206610                	*  	325.85375016 -07.40825239  	      2.35 2.34 	   5.16	-18.60   	     ~	 9.38 	 8.35 	     ~	 8.76 	K0III          
228	HD12661    	HD 12661                 	PM*	031.14286807 +25.41430641  	-107.12 -174.69 	  28.61	-47.23   	     ~	 8.16 	 7.44 	 7.0  	 6.6  	K0V            
229	HD69830    	HD 69830                 	PM*	124.59977944 -12.63216989  	 278.99 -987.59 	  80.04	32.20    	     ~	 6.74 	 5.95 	     ~	     ~	G8+V           
230	HD28254    	HD 28254                 	** 	066.21127039 -50.62219240  	 -67.15 -144.50 	  18.29	-9.32    	     ~	     ~	     ~	     ~	     ~	G5V            
231	HD81688    	* 41 Lyn                 	PM*	142.16661833 +45.60148177  	  -7.50 -128.77 	  11.65	38.58    	     ~	 6.389	 5.393	 6.54 	     ~	K0III          
232	HD210277   	HD 210277                	PM*	332.37443966 -07.54865412  	  85.07 -449.74 	  46.38	-20.77   	     ~	 7.34 	 6.63 	     ~	     ~	G8V            
233	HD207832   	HD 207832                	PM*	328.15117662 -26.02655964  	 132.05 -143.15 	  18.37	-16.55   	     ~	 9.48 	 8.79 	     ~	     ~	G5V            
234	HD33283    	HD 33283                 	PM*	077.00421704 -26.79747236  	   55.93 -46.71 	  10.62	4.50     	 8.870	 8.640	 8.040	     ~	     ~	G3/5V          
235	HD10180    	HD 10180                 	*  	024.47323633 -60.51152649  	    -14.60 6.51 	  25.63	35.51    	     ~	 7.95 	 7.32 	     ~	     ~	G1V            
236	HD148156   	HD 148156                	*  	247.07201739 -46.31762784  	    44.88 28.10 	  19.38	-1.74    	     ~	 8.26 	 7.69 	     ~	     ~	G0/2V          
237	HD222155   	HD 222155                	PM*	354.50128085 +48.99652520  	 195.33 -117.13 	  20.38	-43.80   	     ~	 7.76 	 7.12 	 6.7  	 6.4  	G0             
238	HD73526    	HD 73526                 	PM*	129.31868391 -41.31910060  	  -59.95 162.23 	   9.93	26.31    	     ~	 9.69 	 9.00 	     ~	     ~	G6V            
239	HD117207   	HD 117207                	PM*	202.33797458 -35.57099804  	 -204.79 -72.19 	  30.26	-17.40   	     ~	 7.98 	 7.25 	     ~	     ~	G7IV-V         
240	HD121504   	HD 121504                	PM*	209.32182791 -56.04004335  	 -249.48 -84.35 	  22.17	19.50    	     ~	 8.12 	 7.52 	     ~	     ~	G2V            
241	HD156846   	HD 156846                	** 	260.14296371 -19.33374974  	-136.65 -144.25 	  21.00	-67.85   	 7.20 	 7.10 	 6.52 	     ~	     ~	G1V            
242	HD224693   	HD 224693                	*  	359.97430297 -22.42811391  	   148.49 27.37 	  10.16	1.42     	     ~	 8.87 	 8.22 	     ~	     ~	G2V            
243	HD158038   	HD 158038                	*  	261.43928820 +27.30334069  	   48.35 -59.04 	   9.65	19.98    	     ~	 8.515	 7.464	     ~	     ~	K1IV           
244	HD143361   	HD 143361                	PM*	240.45977937 -44.43453373  	-158.32 -118.21 	  15.23	-1.10    	     ~	 9.93 	 9.16 	     ~	     ~	G6V            
245	HD155358   	HD 155358                	PM*	257.39423954 +33.35585694  	-222.45 -215.97 	  22.67	-9.19    	     ~	 7.79 	 7.270	 7.0  	 6.7  	G0             
246	HD192310   	HD 192310                	V* 	303.82246344 -27.03297557  	1241.85 -180.96 	 112.22	-54.2    	     ~	 6.63 	 5.723	 5.98 	 8.74 	K2+V           
247	HD86081    	HD 86081                 	*  	149.02466098 -03.80842246  	   -66.54 16.83 	  10.49	30.88    	     ~	 9.34 	 8.70 	     ~	     ~	G1V            
248	HD109246   	HD 109246                	PM*	188.02995640 +74.48955158  	 -170.69 -46.44 	  15.14	-19.60   	     ~	 9.42 	 8.76 	 8.43 	 8.0  	G0V            
249	HD128311   	HD 128311                	BY*	219.00233452 +09.74651755  	 204.74 -249.98 	  60.60	-9.58    	 9.232	 8.441	 7.446	 6.895	 6.425	K3V            
250	HD164509   	HD 164509                	*  	270.38011626 +00.10455527  	   -7.40 -20.98 	  19.07	13.63    	     ~	 8.723	 8.103	 7.85 	     ~	G2V            
251	HD9446     	HD 9446                  	PM*	023.33410672 +29.26514931  	  192.01 -53.99 	  19.10	20.2     	     ~	 9.03 	 8.35 	 8.0  	 7.7  	G5V            
252	HD18742    	HD 18742                 	*  	045.04440167 -20.80260631  	  -19.81 -23.37 	   7.39	-13.78   	     ~	 8.740	 7.81 	     ~	     ~	G8/K0IV        
253	HD167042   	HD 167042                	PM*	272.63183367 +54.28655340  	  107.94 247.35 	  19.91	-17.88   	     ~	 6.89 	 5.95 	 5.4  	 5.0  	K1III          
254	HD69830    	HD 69830                 	PM*	124.59977944 -12.63216989  	 278.99 -987.59 	  80.04	32.20    	     ~	 6.74 	 5.95 	     ~	     ~	G8+V           
255	HD114762   	HD 114762                	SB*	198.08226118 +17.51712211  	  -582.88 -2.18 	  25.87	51.03    	 7.78 	 7.83 	 7.29 	 7.0  	 6.8  	F9VgF8mF4+M6?V 
256	HD45652    	HD 45652                 	PM*	097.30496544 +10.93389116  	  205.99 -62.58 	  29.11	-5.00    	     ~	 8.96 	 8.127	 7.6  	 7.2  	K5             
257	HD73256    	V* CS Pyx                	BY*	129.09589941 -30.03762406  	  -180.11 66.81 	  26.48	29.77    	     ~	 8.84 	 8.06 	     ~	     ~	G8IV-VFe+0.5   
258	HD180314   	HD 180314                	*  	288.70920374 +31.86034913  	    47.19 19.71 	   7.61	-73.87   	     ~	 7.63 	 6.608	 6.41 	     ~	K0             
259	HD17092    	HD 17092                 	*  	041.5921471 +49.6530731    	     37.9 -13.6 	      ~	5.56     	     ~	 9.00 	 7.73 	     ~	     ~	K2III          
260	HD202206   	HD 202206                	*  	318.74070492 -20.78920939  	 -38.40 -119.81 	  22.06	18.60    	     ~	 8.79 	 8.07 	     ~	     ~	G6V            
261	HD108874   	HD 108874                	*iC	187.61200682 +22.87982833  	  127.11 -89.47 	  15.97	-30.00   	     ~	 9.49 	 8.76 	 8.3  	 7.9  	G9V            
262	HD200964   	HD 200964                	PM*	316.66600997 +03.80311890  	    94.99 50.47 	  13.85	-71.69   	     ~	 7.379	 6.487	     ~	     ~	G8IV           
263	HD10180    	HD 10180                 	*  	024.47323633 -60.51152649  	    -14.60 6.51 	  25.63	35.51    	     ~	 7.95 	 7.32 	     ~	     ~	G1V            
264	HD33142    	HD 33142                 	*  	076.89808933 -13.98647842  	    -7.49 35.37 	   7.94	33.58    	     ~	 8.905	 7.96 	     ~	     ~	K0III          
265	HD7924     	HD 7924                  	*  	020.49631211 +76.71028709  	  -34.23 -33.28 	  59.49	-23.40   	     ~	 8.005	 7.185	     ~	     ~	K0.5V          
266	HD99109    	HD 99109                 	PM*	171.07232854 -01.52907347  	-178.07 -159.26 	  20.03	33.12    	     ~	 9.96 	 9.06 	     ~	     ~	G8/K0IV        
267	HD10647    	* q01 Eri                	PM*	025.62214619 -53.74083363  	 166.32 -106.52 	  57.36	28.40    	     ~	 6.05 	 5.52 	     ~	     ~	F9V            
268	HD170469   	HD 170469                	*  	277.29575503 +11.69549938  	  -48.14 -18.32 	  15.94	-59.85   	     ~	 8.86 	 8.18 	     ~	     ~	G5             
269	HD88133    	HD 88133                 	PM*	152.53198184 +18.18686934  	 -12.58 -264.57 	  12.28	-3.37    	     ~	 8.88 	 8.06 	 7.5  	 7.1  	G5             
270	HD196885   	HR 7907                  	** 	309.96614811 +11.24965134  	    47.34 83.87 	  29.83	-30.13   	     ~	 6.92 	 6.385	 6.32 	     ~	F8IV:          
271	HD190228   	HD 190228                	PM*	300.75322172 +28.30685679  	  105.20 -69.82 	  16.23	-50.10   	     ~	 8.064	 7.307	     ~	     ~	G5IV           
272	HD181720   	HD 181720                	PM*	290.72077095 -32.91905215  	  88.03 -414.99 	  17.22	-45.35   	     ~	 8.44 	 7.86 	     ~	     ~	G1V            
273	HD156411   	HD 156411                	PM*	259.96416917 -48.54931774  	 -33.71 -209.35 	  18.25	-38.46   	     ~	 7.29 	 6.67 	     ~	     ~	G1V(w)         
274	HD27894    	HD 27894                 	PM*	065.19602982 -59.41083845  	  182.16 271.77 	  22.79	82.91    	     ~	10.42 	 9.42 	     ~	     ~	K2V            
275	HD156279   	HD 156279                	PM*	258.09668263 +63.35209419  	   -1.21 161.21 	  27.32	-20.67   	     ~	 8.879	 8.08 	 7.6  	 7.2  	K0             
276	HD179079   	HD 179079                	PM*	287.79095379 -02.63838658  	 -133.89 -90.10 	  15.26	19.48    	     ~	 8.66 	 7.96 	     ~	     ~	G5IV           
277	HD4113     	HD 4113                  	PM*	010.80248662 -37.98263249  	  50.63 -115.05 	  22.70	4.68     	     ~	 8.61 	 7.88 	     ~	     ~	G5V            
278	HD330075   	HD 330075                	PM*	237.40704824 -49.96352472  	 -235.20 -93.79 	  20.16	61.27    	     ~	10.23 	 9.33 	     ~	     ~	G5             
279	HD104985   	HD 104985                	PM*	181.31299541 +76.90573541  	  147.68 -91.65 	  10.30	-20.19   	     ~	 6.819	 5.797	 5.2  	 4.7  	G9III          
280	HD87883    	HD 87883                 	*  	152.17974905 +34.24225934  	  -64.04 -60.51 	  54.93	9.34     	     ~	 8.54 	 7.55 	     ~	     ~	K0V            
281	HD10180    	HD 10180                 	*  	024.47323633 -60.51152649  	    -14.60 6.51 	  25.63	35.51    	     ~	 7.95 	 7.32 	     ~	     ~	G1V            
282	HD66428    	HD 66428                 	PM*	120.86944079 -01.16270765  	 -67.78 -207.18 	  18.21	44.17    	     ~	 8.97 	 8.26 	     ~	     ~	G8IV(+G)       
283	HD52265    	HD 52265                 	*  	105.07515031 -05.36716222  	  -116.13 80.29 	  34.53	53.89    	     ~	 6.837	 6.301	     ~	     ~	G0V            
284	HD16417    	* lam02 For              	PM*	039.24419932 -34.57797577  	 -18.35 -259.35 	  38.79	11.80    	 6.67 	 6.45 	 5.79 	     ~	     ~	G1V            
285	HD205739   	HD 205739                	*  	324.53501642 -31.73748815  	   20.94 -83.69 	   9.28	9.30     	     ~	 9.09 	 8.54 	     ~	     ~	F7V            
286	HD216770   	HD 216770                	PM*	343.97378480 -26.65876319  	 226.63 -178.11 	  28.11	31.21    	     ~	 8.92 	 8.10 	     ~	     ~	G9VCN+1        
287	HD136418   	HD 136418                	PM*	229.77575899 +41.73320606  	 -19.66 -181.92 	  10.18	-34.41   	 9.480	 8.810	 7.880	 7.3  	 6.9  	G5             
288	HD188015   	HD 188015                	*  	298.01893074 +28.10037546  	   53.71 -91.56 	  17.54	-0.45    	     ~	 8.95 	 8.23 	     ~	     ~	G5IV           
289	HD10180    	HD 10180                 	*  	024.47323633 -60.51152649  	    -14.60 6.51 	  25.63	35.51    	     ~	 7.95 	 7.32 	     ~	     ~	G1V            
290	HD9446     	HD 9446                  	PM*	023.33410672 +29.26514931  	  192.01 -53.99 	  19.10	20.2     	     ~	 9.03 	 8.35 	 8.0  	 7.7  	G5V            
291	HD37124    	HD 37124                 	PM*	084.26035893 +20.73078808  	 -80.14 -419.77 	  29.70	-23.02   	     ~	 8.35 	 7.68 	 7.2  	 6.9  	G4IV-V         
292	HD8574     	HD 8574                  	PM*	021.30214855 +28.56669473  	 250.87 -158.06 	  22.44	18.93    	     ~	 7.684	 7.11 	 6.8  	 6.5  	F8             
293	HD82886    	HD 82886                 	*  	143.93826142 +34.78074254  	   14.33 -34.78 	   7.97	12.55    	     ~	 8.493	 7.63 	     ~	     ~	G0             
294	HD179949   	HR 7291                  	*  	288.88845793 -24.17935188  	 117.97 -101.67 	  36.30	-24.59   	     ~	 6.757	 6.254	     ~	     ~	F8V            
295	HD2952     	HR 135                   	*  	008.29331113 +54.89498444  	   70.14 -39.52 	   8.76	-34.97   	     ~	 6.961	 5.930	     ~	     ~	K0III          
296	HD28678    	HD 28678                 	*  	067.85606392 +04.57529762  	     4.03 -8.82 	   4.41	61.40    	     ~	 9.43 	 8.440	     ~	     ~	G8IV           
297	HD96167    	HD 96167                 	*  	166.31278931 -10.29130189  	   -49.69 -7.55 	  11.50	11.92    	     ~	 8.82 	 8.08 	     ~	     ~	G3V            
298	HD43197    	HD 43197                 	*  	093.39859049 -29.89726990  	   148.65 13.66 	  17.76	72.52    	     ~	 9.79 	 8.95 	     ~	     ~	G8/K0IV/V      
299	HD37605    	HD 37605                 	PM*	085.00720270 +06.06057767  	  53.15 -246.44 	  22.74	-22.05   	     ~	 9.52 	 8.69 	 8.1  	 7.7  	K0             
300	HD183263   	HD 183263                	*  	292.10238325 +08.35805440  	  -19.08 -32.97 	  18.15	-50.55   	     ~	 8.51 	 7.86 	     ~	     ~	G2IV           
301	HD145377   	HD 145377                	*  	242.90185594 -27.07817462  	    20.23 13.61 	  18.17	11.80    	     ~	 8.73 	 8.10 	     ~	     ~	G3V            
302	HD240210   	HD 240210                	*  	347.6217929 +57.0294542    	       18.0 7.9 	      ~	8.63     	     ~	 9.88 	 8.27 	     ~	     ~	K7             
303	HD109749   	HD 109749                	** 	189.31824213 -40.81211638  	  -157.85 -5.43 	  17.77	-13.24   	     ~	 8.76 	 8.08 	     ~	     ~	G3V+K5V        
304	HD45364    	HD 45364                 	*  	096.41031254 -31.48095661  	   53.22 -13.20 	  30.59	16.46    	     ~	 8.82 	 8.06 	     ~	     ~	G8V            
305	HD159243   	HD 159243                	*  	263.33977418 +05.70073309  	   -54.41 22.43 	  14.45	~        	     ~	 9.19 	 8.65 	     ~	     ~	G0             
306	HD96127    	HD 96127                 	*  	166.44145105 +44.30155811  	     7.79 -2.01 	   2.07	-37.38   	     ~	 8.924	 7.407	 6.97 	     ~	K2             
307	HD17156    	HD 17156                 	*  	042.43536628 +71.75323049  	   91.14 -33.14 	  13.33	-3.21    	     ~	 8.78 	 8.16 	     ~	     ~	G0             
308	HD16760    	HD 16760                 	** 	040.58879570 +38.61867476  	  79.20 -107.49 	  22.00	-3.85    	     ~	 9.45 	 8.76 	     ~	     ~	G2V            
309	HD30562    	HD 30562                 	PM*	072.15160290 -05.67404509  	 311.04 -249.44 	  37.85	77.24    	     ~	 6.40 	 5.77 	     ~	     ~	G2IV           
310	HD102195   	HD 102195                	PM*	176.42621755 +02.82148162  	-189.71 -112.09 	  33.74	1.89     	     ~	 8.90 	 8.06 	 7.6  	 7.2  	K0V            
311	HD75289    	HD 75289A                	PM*	131.91829069 -41.73679282  	 -20.00 -227.93 	  34.31	9.90     	 7.04 	 6.94 	 6.36 	     ~	     ~	F9VFe+0.3      
312	HD185269   	HD 185269                	PM*	294.29892048 +28.49986264  	  -32.03 -81.18 	  19.89	0.52     	     ~	 7.266	 6.669	 7.46 	     ~	G2V            
